simulation_id,timestamp,node_id,cpu,memory,battery,rssi,packet_loss,latency,throughput,queue_size,traffic_load,link_quality,mobility_speed
35,11,2,10.801704,0.000000,100.000000,15.014052,0.849859,58.059798,2.000000,1,0.000000,0.150141,4.414506
35,11,3,19.217021,8.664560,100.000000,12.608424,0.873916,59.980715,1.000000,2,2594.000000,0.126084,3.953289
35,11,4,0.000000,5.073430,100.000000,12.344928,0.876551,60.189776,0.000000,0,0.000000,0.123449,6.030497
35,11,5,2.472459,8.932410,100.000000,17.958924,0.820411,55.710172,1.000000,1,0.000000,0.179589,9.434349
35,11,6,5.417847,12.220979,100.000000,19.155682,0.808443,54.768173,1.000000,1,0.000000,0.191557,6.511675
35,11,7,3.825279,7.122789,100.000000,30.952618,0.690474,45.365207,0.000000,1,662.000000,0.309526,8.286927
35,11,8,5.671055,3.581581,100.000000,14.513817,0.854862,58.459211,1.000000,0,0.000000,0.145138,9.902659
35,11,9,0.000000,6.211626,100.000000,16.252562,0.837474,57.071148,0.000000,0,0.000000,0.162526,1.194532
35,11,10,0.679571,6.200870,100.000000,12.344928,0.876551,60.189776,0.000000,0,1142.000000,0.123449,3.679274
35,12,1,6.598975,0.365637,100.000000,22.393582,0.776064,52.174198,0.000000,1,316.000000,0.223936,1.760948
35,12,2,14.884774,2.158082,100.000000,13.779517,0.862205,59.044968,1.000000,3,1457.000000,0.137795,4.414506
35,12,3,20.907128,9.752929,100.000000,13.680604,0.863194,59.124694,0.000000,2,0.000000,0.136806,3.953289
35,12,4,0.000000,2.965479,100.000000,13.788791,0.862112,59.037263,0.000000,0,966.000000,0.137888,6.030497
35,12,5,6.500601,11.816594,100.000000,17.591352,0.824086,56.003937,1.000000,0,0.000000,0.175914,9.434349
35,12,6,7.072299,12.679118,100.000000,19.127652,0.808723,54.786681,2.000000,0,0.000000,0.191277,6.511675
35,12,7,3.827795,7.017271,100.000000,29.208728,0.707913,46.750123,2.000000,0,0.000000,0.292087,8.286927
35,12,8,5.334434,4.814519,100.000000,14.281247,0.857188,58.645081,0.000000,0,0.000000,0.142812,9.902659
35,12,9,0.754886,5.786892,100.000000,15.520082,0.844799,57.655605,0.000000,1,1205.000000,0.155201,1.194532
35,12,10,0.447341,9.039982,100.000000,13.788791,0.862112,59.037263,0.000000,0,681.000000,0.137888,3.679274
35,13,1,11.211545,0.000000,100.000000,21.021910,0.789781,53.267425,1.000000,0,0.000000,0.210219,1.760948
